Zeo1,Zeo2,SOAP,D,mA11,mA12,mA13,mA21,mA22,mA23,mA31,mA32,mA33,mB11,mB12,mB13,mB21,mB22,mB23,mB31,mB32,mB33
AFI,JSN,0.2318,0.2644,1,0,0,0,1,0,0,0,2,1,0,0,0,3,0,0,0,1
AFI,JSR,0.3834,0.1436,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,JST,0.3730,0.1134,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,JSW,0.2372,0.1917,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,KFI,0.2035,0.1449,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,LAU,0.1965,0.0000,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,LEV,0.2787,0.1780,3,0,0,0,1,0,0,0,3,4,0,0,0,1,0,0,0,1
AFI,LIO,0.2283,0.1460,-2,-1,0,-1,-2,0,0,0,1,-2,-2,0,-1,0,0,0,0,-1
AFI,LIT,0.2456,0.2048,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,LOS,0.2438,0.0622,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,LOV,0.2784,0.2249,1,0,0,0,1,0,0,0,3,2,0,0,0,2,0,0,0,1
AFI,LTA,0.2013,0.2515,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,LTF,0.2335,0.3757,-2,-2,-1,-2,1,0,-1,2,-1,0,0,1,-2,1,2,-2,0,-1
AFI,LTJ,0.2577,0.0653,2,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,1
AFI,LTL,0.2156,0.1818,1,0,0,0,3,0,0,0,1,1,0,0,0,2,0,0,0,1
AFI,LTN,0.2013,0.1736,-2,-2,-2,-2,-1,2,-2,2,-2,1,0,0,0,1,0,0,0,1
AFI,MAR,0.2360,0.1682,-2,-1,0,1,2,0,0,0,-1,1,0,0,0,1,0,0,0,1
AFI,MAZ,0.2170,0.1825,1,0,0,0,3,0,0,0,1,1,0,0,0,2,0,0,0,1
AFI,MEI,0.1712,0.0783,-2,-1,-2,-2,2,-1,1,0,-2,-2,-1,0,-2,1,2,0,1,-2
AFI,MEL,0.1008,0.1453,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,MEP,0.2592,0.2030,-2,-2,-1,-2,1,-2,1,-2,-2,-2,-2,-1,-1,1,-2,1,-2,0
AFI,MER,0.2633,0.0755,-2,0,-2,-1,0,-2,1,-2,0,-2,-1,1,-1,-1,1,2,1,2
AFI,MFI,0.1317,0.1630,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,MFS,0.1481,0.2206,1,0,0,0,1,0,0,0,3,2,0,0,0,1,0,0,0,1
AFI,MON,0.2765,0.2429,1,0,0,0,1,0,0,0,2,1,0,0,0,3,0,0,0,1
AFI,MOR,0.1537,0.1592,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,MOZ,0.1746,0.3627,3,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,2
AFI,MRE,0.1441,0.1769,-2,-1,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,MRT,0.2617,0.0706,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,MSE,0.0965,0.0568,-2,-1,-2,-2,0,2,-1,2,2,-1,-1,0,-1,0,2,-1,1,1
AFI,MSO,0.1161,0.0776,-2,-1,-2,-1,2,-1,1,-2,-2,-2,1,0,-2,-1,-2,0,0,1
AFI,MTF,0.1776,0.0857,-2,-1,-2,-2,2,-1,-1,2,-2,-1,-1,2,1,-1,-2,2,-1,-1
AFI,MTN,0.2504,0.0547,-2,-1,0,-2,2,-1,1,-2,-2,-2,-1,1,-1,-1,-1,1,0,1
AFI,MTT,0.1402,0.3689,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,MTW,0.0865,0.0553,-2,2,-1,-1,-1,2,1,0,1,-1,2,-1,0,0,1,2,2,2
AFI,MVY,0.2422,0.0568,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1
AFI,MWF,0.2790,0.2546,4,0,0,0,2,0,0,0,4,1,0,0,0,1,0,0,0,1
AFI,MWW,0.1076,0.1939,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,1
AFI,NAB,0.3369,0.0800,-2,-1,0,-1,-1,-2,0,-1,1,-2,-2,0,-2,0,-1,2,-2,-1
AFI,NAT,0.3281,0.0942,-2,0,-1,-1,-1,-1,1,-2,2,-1,0,-2,-1,2,-2,2,1,1
AFI,NES,0.0769,0.1341,-2,1,-2,-2,2,1,1,2,0,-1,-1,-2,0,0,-1,1,-2,-1
AFI,NON,0.1566,0.0794,-2,-2,-1,-2,1,0,1,2,-1,0,-1,-1,1,1,-2,1,1,1
AFI,NPO,0.2292,0.0892,1,0,0,0,1,0,0,0,1,-2,-2,0,1,0,0,0,0,2
AFI,NPT,0.3217,0.1325,-2,-1,-2,-1,0,-2,1,-1,1,-2,0,0,-2,-1,0,1,1,1
AFI,NSI,0.2091,0.1456,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,1
AFI,OBW,0.3461,0.3051,1,0,0,0,1,0,0,0,19,1,0,0,0,1,0,0,0,6
AFI,OFF,0.1633,0.0983,-2,-1,0,-1,-2,0,0,0,1,-2,-2,0,-2,0,0,0,0,-1
AFI,OKO,0.0884,0.1114,-2,-1,-2,-2,0,1,-1,2,-2,-1,1,0,-1,-1,2,0,1,2
AFI,OSI,0.1094,0.1501,-2,1,-2,-2,2,-1,2,-2,-1,-2,-1,-1,-2,-2,-1,1,2,2
AFI,OSO,0.3264,0.9769,1,0,0,0,5,0,0,0,1,1,0,0,0,8,0,0,0,1
AFI,OWE,0.2435,0.1598,1,0,0,0,2,0,0,0,1,1,0,0,0,3,0,0,0,1
AFI,PAR,0.2077,0.1214,-2,-1,-2,-2,-1,0,0,1,0,-2,0,1,-1,0,-1,0,-1,0
AFI,PAU,0.2690,0.1163,-2,-2,-2,-2,0,2,-1,2,-2,1,0,0,0,1,0,0,0,1
AFI,PCR,0.1923,0.1431,-2,1,-1,-1,1,1,0,1,-2,-1,-1,0,-1,0,0,-1,-2,-2
AFI,PCS,0.1329,0.0720,-1,-2,0,-1,2,0,0,0,-2,-2,0,1,1,0,1,0,1,0
AFI,PHI,0.2924,0.0755,-2,-2,0,-2,0,-2,1,-2,2,-2,-1,1,-1,1,2,-1,-2,-2
AFI,PON,0.2192,0.2047,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,POR,0.2126,0.0978,-2,-1,-2,-2,-1,0,0,2,0,-2,0,-1,-1,0,-2,0,-1,0
AFI,POS,0.1288,0.1015,-2,-1,0,-2,1,0,0,0,-2,-2,0,-1,-1,0,1,0,1,0
AFI,PSI,0.1885,0.2637,1,0,0,0,2,0,0,0,3,1,0,0,0,1,0,0,0,1
AFI,PUN,0.3347,0.1454,1,0,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,1
AFI,PWO,0.2302,0.2201,1,0,0,0,5,0,0,0,1,1,0,0,0,6,0,0,0,1
AFI,PWW,0.2219,0.0655,-2,1,2,-1,0,0,1,-2,1,-2,0,1,-1,-1,0,1,0,1
